created_at,favorite_count,favorited,filter_level,lang,retweet_count,retweeted,source,text,rawtext,user_created_at,user_followers_count,user_location,user_lang,user_name,user_screen_name,user_time_zone,user_utc_offset,user_friends_count,geolocation,recordRetrieved,id_str,URL,dbSource,lat,lng
Mon Feb 11 03:43:36 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,All this snow makes me so stoked The ice that will follow not so much Poulsbo Washington,All this snow makes me so stoked! The ice that will follow not so much #snowpocalypse #pnw #letitsnow @ Poulsbo Washington https://t.co/PmEkxrrOqF,Mon Apr 04 19:58:59 +0000 2011,365,Washington USA,en,Jake Long,ImJakeLong,None,None,1782,47.7372 -122.6417,43:41.0,1.0948E+18,https://twitter.com/statuses/1094804115509731328,location2.db,47.7372,-122.6417
Mon Feb 11 03:37:12 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,A little caddy amp golfer luv shared at Blue Canyon Golf Club Phuket,A little caddy &amp; golfer luv shared at Blue Canyon Golf Club Phuket. #phuket #thailand #bluecanyon #bluecanyonphuket #bluecanyongolfclub #golftrip #golfholiday #caddies #phuketgolf https://t.co/8YH5hpQnnA,Sat Dec 01 10:37:04 +0000 2012,2292,Rawai Phuket Thailand,en,PhuketGolfLeisure,PhuketGolfing,None,None,1865,7.92558358 98.34735998,37:18.0,1.0948E+18,https://twitter.com/statuses/1094802506021068800,location2.db,7.92558358,98.34735998
Mon Feb 11 03:53:47 +0000 2019,0,0,low,0,0,0,<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>,Its thoughtfulness like this that makes the my favourite Best service Best views Best stay every time at New York in New York NY,It's thoughtfulness like this that makes the @ArcherHotel my favourite Best service. Best views. Best stay every time. #LetsGoLeafs (at @ArcherHotel New York in New York NY) https://t.co/XbAMYi1uYh https://t.co/TgFaQGChJd,Mon Oct 05 19:19:26 +0000 2009,2155,snapchat: thelifeofnadia,en,Nadia,TheLifeOfNadia,None,None,1524,40.75205994 -73.98473358,53:53.0,1.09481E+18,https://twitter.com/statuses/1094806680834097152,location2.db,40.75205994,-73.98473358
Mon Feb 11 06:09:26 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,CHASE CITY madhursinghchauhanx iamdamiondias a and the Husky by by,CHASE CITY #starring madhursinghchauhanx @iamvartikasingh @Villagebelltent iamdamiondias a #ChevroletImpala and #Casper the Husky #styled by @pashamalwani #makeup by @mitesh784 https://t.co/6OyaQ9yfyX,Sun Apr 15 19:26:09 +0000 2012,103,Mumbai India,en,arsh sayed,ArshSayed,None,None,27,19.058458 72.832028,09:32.0,1.09484E+18,https://twitter.com/statuses/1094840817401778177,location2.db,19.058458,72.832028
Mon Feb 11 04:47:39 +0000 2019,0,0,low,0,0,0,<a href='https://www.careerarc.com' rel='nofollow'>CareerArc 2.0</a>,This job might be a great fit for you Merchandiser Reset WA,This job might be a great fit for you: Merchandiser - Reset - https://t.co/kIBpOqDoO4 #BeYourOwnBoss #Seattle WA,Tue Nov 22 17:02:23 +0000 2016,35,Florida USA,en,A C Merchandising,acm_jobs,None,None,202,47.6062095 -122.3320708,47:49.0,1.09482E+18,https://twitter.com/statuses/1094820234106564610,location2.db,47.6062095,-122.3320708
Mon Feb 11 05:41:40 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Almost a bottle deep over here in Leschi The Leschi Estate,Almost a bottle deep over here in Leschi! #snowpocalypse2019 #seattlesnow #bottledeep #winosmeasurementunits #seattle #pnw #wino #wawine #liveyourbestwinelife @ The Leschi Estate https://t.co/CHAwwc8Xbc,Thu Jul 11 17:29:08 +0000 2013,94,Seattle WA,en,Tonya Swick,TKSwick,None,None,359,47.60156166 -122.29290482,41:45.0,1.09483E+18,https://twitter.com/statuses/1094833826952491009,location2.db,47.60156166,-122.2929048
Mon Feb 11 05:10:20 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Empire Coffee black coffee with just a tip of Empire State Building added Stumptown Coffee,Empire Coffee (black coffee with just a tip of Empire State Building added) #EmpireStateBuilding #NewYork #nyc #Manhattan #StumptownCoffee #roasters #coffee #AceHotel @ Stumptown Coffee @ https://t.co/CKuYDanbsZ,Thu Feb 26 16:51:51 +0000 2009,173,None,en,sila blume,CoffeeDramatist,None,None,158,40.7456891 -73.9881344,10:26.0,1.09483E+18,https://twitter.com/statuses/1094825944357818374,location2.db,40.7456891,-73.9881344
Mon Feb 11 05:10:27 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Royal Albert Hall,#AndTheBAFTAGoesTo.... #RachelWeisz #BestSupportingActress #TheFavourite #BritishAcademyFilmAwards #RoyalAlbertHall #London #BAFTA #BAFTAs @ Royal Albert Hall https://t.co/QqXXfxxthy,Sun Mar 29 16:37:19 +0000 2009,573,Clerkenwell Central London,en,Brett Cove,BrettCove,None,None,2023,51.50100666 -0.17739095,10:33.0,1.09483E+18,https://twitter.com/statuses/1094825973277573125,location2.db,51.50100666,-0.17739095
Mon Feb 11 09:16:11 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Another day another meeting portrait London United Kingdom,Another day another... meeting. . . . . #anotherdayanothermeeting #meetings #mondays #mondaymotivation #iphone #iphonex #nofilter #igdaily #ig_portrait #traintravel @ London United Kingdom https://t.co/TNxcZpfiL4,Mon Oct 01 02:51:05 +0000 2007,200,London United Kingdom,en,filipelima,filipelima,None,None,215,51.50711486 -0.12731805,16:17.0,1.09489E+18,https://twitter.com/statuses/1094887815127609345,location3.db,51.50711486,-0.12731805
Mon Feb 11 03:57:06 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,OMG This taste so good Union City California,OMG! This taste so good! @DNABrewery #dnabrewingco #dnabrewing #dnabeer #goodbeer @ Union City California https://t.co/ybWHnx9iGB,Sun Jun 27 21:01:31 +0000 2010,61,hayward ca,en,Ray Sherrod,ray3473,None,None,251,37.5922 -122.046,57:12.0,1.09481E+18,https://twitter.com/statuses/1094807514850373633,location2.db,37.5922,-122.046
Mon Feb 11 04:09:33 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Solin and Papa collecting rocks in front of the Roundhouse Desert Hot Springs Palm Springs CA,Solin and Papa collecting rocks in front of the Roundhouse @ Desert Hot Springs Palm Springs CA https://t.co/yXxSSCYCXg,Tue Apr 14 03:24:10 +0000 2009,157,California,en,Jenn Whiteman,Pepperexpress,None,None,229,33.93932875 -117.15536117,09:38.0,1.09481E+18,https://twitter.com/statuses/1094810644975476736,location2.db,33.93932875,-117.1553612
Mon Feb 11 04:09:34 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,The black and white cookie a NY classic Photo New York New York,The black and white cookie a NY classic. || Photo: @RachelAnnaBrown || #CarlyDailyTravel @ New York New York https://t.co/rAHRkkf6Ch,Sun Oct 16 22:49:34 +0000 2011,258,Kelowna British Columbia,en,Carly,CarlyDailyBlog,None,None,418,40.7142 -74.0064,09:39.0,1.09481E+18,https://twitter.com/statuses/1094810649660715011,location2.db,40.7142,-74.0064
Mon Feb 11 05:03:10 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Central Park at night robindhitt Central Park Manhattan New York City,Central Park at night. robin.d.hitt . . #centralpark #newyorkcity #manhattan #johnwick #nyc @ Central Park Manhattan New York City https://t.co/m4DqUDangO,Wed Apr 15 22:02:14 +0000 2009,18277,Louisiana USA,en,Tim Hitt,lavitaminguy,None,None,845,40.7319482 -73.8857936,03:16.0,1.09482E+18,https://twitter.com/statuses/1094824140349988864,location2.db,40.7319482,-73.8857936
Mon Feb 11 03:47:18 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,London United Kingdom,#kodakblack #bdexentertainment #bdexentertainmentnews #bdexentertainmenttv @ London United Kingdom https://t.co/cbNBg7xpJu,Mon Jun 24 15:50:28 +0000 2013,2750,United Kingdom,en,Follow my IG: @BdexEntertainment,BdexOfficial,None,None,2595,51.50711486 -0.12731805,47:23.0,1.09481E+18,https://twitter.com/statuses/1094805045596557312,location2.db,51.50711486,-0.12731805
Mon Feb 11 05:12:40 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Work hard for what you want because it wont come to you without a fight 11pm Shibuya station,Work hard for what you want because it won't come to you without a fight #Facts #Tokyo #2:11pm #Monday @ /Shibuya station https://t.co/arASYcFCBn,Mon Mar 30 17:29:14 +0000 2009,12355,Philadelphia PA,en,deejay aktive,DjAktive,None,None,2748,35.6593431 139.70082913,12:45.0,1.09483E+18,https://twitter.com/statuses/1094826529236824065,location2.db,35.6593431,139.7008291
Mon Feb 11 04:25:06 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,London United Kingdom,#21savage #red #bloodgang #slaughtergang #blat #suwoop #london #mindyourbusiness @ London United Kingdom https://t.co/x57oc4ELQa,Tue Dec 05 15:44:13 +0000 2017,50,Toluca Lake California,en,ChurchofAnubis,ChurchofAnubis,None,None,410,51.50711486 -0.12731805,25:12.0,1.09481E+18,https://twitter.com/statuses/1094814560979054592,location2.db,51.50711486,-0.12731805
Mon Feb 11 06:46:08 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,italtouchasia Is passed now just Six months of opening in Singapore Great Job amp well done italtouch Asia team we are working on BahrainSaudi,#trufflemandubai #italtouch #Repost italtouchasia Is passed now just Six months of opening in Singapore ! Great Job &amp; well done italtouch Asia team we are working on Bahrain Saudi https://t.co/DDu9641t16,Wed Oct 26 03:29:57 +0000 2011,751,Dubai Uae,en,Massimo Vidoni,TrufflemanDubai,None,None,758,1.28165 103.84679,46:13.0,1.09485E+18,https://twitter.com/statuses/1094850051292065793,location2.db,1.28165,103.84679
Mon Feb 11 04:39:20 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Wow thats so fastHow fast cAn you solve the cube Regrann from knowledge4brain Ogba Ikeja Lagos State Nigeria,Wow that's so fast!! . How fast cAn you solve the cube? #Oluomoswp #OluOmoOfIG . Regrann from knowledge4brain @ Ogba Ikeja Lagos State Nigeria https://t.co/ilZ9HXhAXr,Fri Dec 18 10:40:57 +0000 2009,287,T: 6.6184793 3.3317173,en,Giwa Oluwatobiloba A,BABASAATE,None,None,622,6.63235833 3.342055,39:26.0,1.09482E+18,https://twitter.com/statuses/1094818144240181250,location2.db,6.63235833,3.342055
Mon Feb 11 04:39:23 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,thomasjames9252 found a stall that sold what they called Singapore chilli noodles He ordered the mildest version and they served it with the pungent chilli oil in a,thomasjames9252 found a stall that sold what they called 'Singapore chilli noodles'. He ordered the mildest version and they served it with the pungent chilli oil in a https://t.co/nNi5tsk3PJ,Wed Jun 03 03:30:35 +0000 2009,958,Brisbane Australia,en,Melissa Loh,melissa_loh,None,None,660,1.29383 103.85333,39:29.0,1.09482E+18,https://twitter.com/statuses/1094818156038676481,location2.db,1.29383,103.85333
Mon Feb 11 04:39:27 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,As Seattle was getting pounded by the snow In Vegas Brooke was playing in her first games back after her back injury in March Great seeing her on the field again and enjoying her time,As Seattle was getting pounded by the snow In Vegas Brooke was playing in her first games back after her back injury in March. Great seeing her on the field again and enjoying her time https://t.co/50oT5nXart,Wed Jun 06 03:20:30 +0000 2007,23263,Issaquah (Seattle Area),en,Patrick Byers,patrickbyers,None,None,10975,36.11358328 -115.22955294,39:32.0,1.09482E+18,https://twitter.com/statuses/1094818170806755329,location2.db,36.11358328,-115.2295529
Mon Feb 11 04:03:13 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Our very own Westside Student Alliah Ford is Taekwondos Oregon State Champion in her division Should of seen her deliver the knockout blow to her opponents head Pretty fierce Great,Our very own Westside Student Alliah Ford is Taekwondo's Oregon State Champion in her division. Should of seen her deliver the knockout blow to her opponents head. Pretty fierce! Great https://t.co/KaE57DrMkx,Tue Oct 13 17:29:56 +0000 2009,52,Aloha OR,en,Westside Students Aloha,wsaloha,None,None,42,45.47497 -122.86602,03:19.0,1.09481E+18,https://twitter.com/statuses/1094809053472141312,location2.db,45.47497,-122.86602
Mon Feb 11 04:22:03 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,The street is the military and the Military is taking over 2o19 heads United Arab Emirates Dubai UAE,'The street is the military'.. and the Military is taking over........ 2o19 heads ....... @ United Arab Emirates Dubai U.A.E https://t.co/4kvRPIHfzc,Sat Jul 06 13:20:07 +0000 2013,25,Dubai United Arab Emirates,en,Gozziegreen,gozziegreen,None,None,182,25.2657753 55.35730162,22:09.0,1.09481E+18,https://twitter.com/statuses/1094813794570625024,location2.db,25.2657753,55.35730162
Mon Feb 11 04:22:13 +0000 2019,0,0,low,0,0,0,<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>,Im at Adoration Chapel of the Parish of the Holy Sacrifice in Quezon City Metro Manila,I'm at Adoration Chapel of the Parish of the Holy Sacrifice in Quezon City Metro Manila https://t.co/0l95LtUA5H,Tue Nov 03 09:30:07 +0000 2009,208,None,en,Gigi Javier,gigij615,None,None,101,14.65879904 121.07065038,22:19.0,1.09481E+18,https://twitter.com/statuses/1094813836383784960,location2.db,14.65879904,121.0706504
Mon Feb 11 04:22:15 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Airboat ride in the with my boo mikecashman Coopertown AirBoat Rides,Airboat ride in the #Everglades with my boo! mikecashman #miami #sundayfunday @ Coopertown AirBoat Rides https://t.co/J4hSH7tDT9,Mon Nov 28 17:45:27 +0000 2011,388,United States,en,Elena Galv n,ElenaMGalvan,None,None,481,25.76070036 -80.56118822,22:21.0,1.09481E+18,https://twitter.com/statuses/1094813845128802304,location2.db,25.76070036,-80.56118822
Mon Feb 11 06:37:55 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,night was made by thanks for being an awesome soul and killing it here at your hometown r Paper Tiger,night was made by @xvromar. thanks for being an awesome soul and killing it here at your hometown #FamilyLife #XavierOm r @ Paper Tiger https://t.co/8PuKWceX94,Sat Mar 03 22:37:34 +0000 2012,1107,TX,en,b jay^ ^,onlyayejay,None,None,2295,29.44862296 -98.48766804,38:00.0,1.09485E+18,https://twitter.com/statuses/1094847983076528128,location2.db,29.44862296,-98.48766804
Mon Feb 11 03:40:30 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Orlando This Valentines Day Ill Be Performing Along Side Some Amazing Friends and Musical Entertainers For Cupids Tribute to the RedFoxLounge Tickets are Almost Sold Out See You,Orlando This Valentines Day I'll Be Performing Along Side Some Amazing Friends and Musical Entertainers For Cupids Tribute to the RedFoxLounge !! Tickets are Almost Sold Out !! ! See You https://t.co/0Wf6G1EeI8,Mon Nov 19 01:25:19 +0000 2012,344,LongBeach &LA Cali/Orlando,en,#RalphyC,RalphyC90,None,None,697,28.55987 -81.36473,40:35.0,1.0948E+18,https://twitter.com/statuses/1094803335519977472,location2.db,28.55987,-81.36473
Mon Feb 11 05:15:10 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,A tiny Chapel at the Barcelona Cathedral The energy in this Sacred Space was beautiful and the sound of my Shakuhachi flute was so ethereal What a lovely memory to cherish,A tiny Chapel at the Barcelona Cathedral. The energy in this Sacred Space was beautiful and the sound of my Shakuhachi flute was so ethereal. What a lovely memory to cherish... https://t.co/5dO7IBuvKF,Sat Feb 12 22:47:35 +0000 2011,287,Toronto Ontario,en,Debbie Danbrook,DebbieDanbrook,None,None,684,41.38388889 2.17638889,15:16.0,1.09483E+18,https://twitter.com/statuses/1094827160999727106,location2.db,41.38388889,2.17638889
Mon Feb 11 06:11:58 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,The magis of Whitewater State Park at a few weeks ago before the snow The park turns 100 years old this year and is worth a visit to its heights and climb to Coyote,The magis of Whitewater State Park at #sundown a few weeks ago before the snow. The park turns 100 years old this year and is worth a visit to its heights and climb to Coyote https://t.co/2IyUSyPqXJ,Wed Sep 25 10:40:41 +0000 2013,75,None,en,Christopher,cfranklinphotos,None,None,302,44.0583 -92.0588,12:04.0,1.09484E+18,https://twitter.com/statuses/1094841454504173571,location2.db,44.0583,-92.0588
Mon Feb 11 05:47:21 +0000 2019,0,0,low,0,0,0,<a href='http://foursquare.com' rel='nofollow'>Foursquare</a>,When it comes to health I can t control everything but I m going to work hard at the things I can Planet Fitness in San Diego CA,When it comes to health I can't control everything but I'm going to work hard at the things I can. #nostrugglenoprogresa (@ Planet Fitness in San Diego CA) https://t.co/3zoE6En5Cb,Tue Sep 10 06:25:22 +0000 2013,585,San Diego,en,Stephanie,stephcapell,None,None,613,32.72313712 -117.0829516,47:27.0,1.09484E+18,https://twitter.com/statuses/1094835259173191681,location2.db,32.72313712,-117.0829516
Mon Feb 11 03:37:20 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Risotto is a process and you don t have to use rice all the time Here s my Saffron Fregola Risotto with Crispy Prosciutto amp Brown Butter Scallop Surf amp Turf my style San Francisco,Risotto is a process and you don't have to use rice all the time. Here's my Saffron Fregola Risotto with Crispy Prosciutto &amp; Brown Butter Scallop. Surf &amp; Turf my style. @ San Francisco https://t.co/WG39ube15i,Sun Sep 04 18:11:10 +0000 2011,42,Bay Area CA,en,MP,hatguysf,None,None,74,37.7793 -122.419,37:25.0,1.0948E+18,https://twitter.com/statuses/1094802538224930816,location2.db,37.7793,-122.419
Mon Feb 11 03:37:20 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Absolutely ridiculous growing out of a crack in a boulder AnzaBorrego Desert State Park,Absolutely ridiculous! #FishhookCactus #MammillariaDioica growing out of a crack in a boulder. @ Anza-Borrego Desert State Park https://t.co/CYavzD50mQ,Mon Apr 06 19:24:07 +0000 2009,1011,San Diego CA,en,Becky,BeckyEscalator,None,None,2926,33.25726078 -116.40572548,37:25.0,1.0948E+18,https://twitter.com/statuses/1094802539164295169,location2.db,33.25726078,-116.4057255
Mon Feb 11 03:43:49 +0000 2019,0,0,low,0,0,0,<a href='https://www.careerarc.com' rel='nofollow'>CareerArc 2.0</a>,This job might be a great fit for you Travel Cath Lab Tech SC,This job might be a great fit for you: Travel Cath Lab Tech - https://t.co/npS3zzB8L8 #Healthcare #Charleston SC,Wed Jun 25 16:22:42 +0000 2014,1850,None,en,SHC Careers,WorkWithSHC,None,None,28,32.785895 -79.9479496,43:55.0,1.0948E+18,https://twitter.com/statuses/1094804171746754560,location2.db,32.785895,-79.9479496
Mon Feb 11 05:59:23 +0000 2019,0,0,low,0,0,0,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Screening Vip Special Guest alitamovie jamescameronofficial rodriguez avatar Gracias Westfield Century City,Screening Vip Special Guest #influencer alitamovie jamescameronofficial rodriguez #alita #14Febrero #titanic avatar Gracias #arena @ Westfield Century City https://t.co/tUi60wlQpR,Fri Aug 07 16:23:52 +0000 2009,35883,Miami - Los Angeles -Las Vegas,en,JAVIER CERIANI,JavierCeriani,None,None,2394,34.05917878 -118.41954693,59:28.0,1.09484E+18,https://twitter.com/statuses/1094838286613278720,location2.db,34.05917878,-118.4195469
